BTJD, Flux, Flux_err
2770.2342311378657 , 0.95969236 , 0.0032751914
2770.2356200308864 , 0.9696999 , 0.0032889117
2770.237008923907 , 0.96510255 , 0.0032806033
2770.238397817044 , 0.9680148 , 0.0032824492
2770.239786710066 , 0.96237034 , 0.0032769006
2770.2411756030874 , 0.963898 , 0.0032802473
2770.242564496108 , 0.9673567 , 0.0032817572
2770.2439533891297 , 0.9683277 , 0.0032858888
2770.2453422821504 , 0.96671814 , 0.0032816618
2770.246731175172 , 0.9697923 , 0.0032866313
2770.2481200681937 , 0.9640201 , 0.0032833435
2770.2495089612144 , 0.9699587 , 0.003285072
2770.2508978542355 , 0.96704304 , 0.003283333
2770.2522867472576 , 0.96438485 , 0.0032795328
2770.2536756402783 , 0.96809816 , 0.003286235
2770.2550645332994 , 0.9666447 , 0.003285694
2770.256453426321 , 0.9733673 , 0.003297214
2770.257842319342 , 0.9741492 , 0.0032985173
2770.259231212363 , 0.96688914 , 0.0032879526
2770.260620105268 , 0.9767029 , 0.0032931904
2770.262008998288 , 0.97862375 , 0.0033069954
2770.263397891309 , 0.97537065 , 0.0032978056
2770.2647867842147 , 0.97986084 , 0.003301038
2770.2661756772363 , 0.9785653 , 0.003309623
2770.2675645701406 , 0.98125046 , 0.0033041365
2770.268953463162 , 0.97923803 , 0.0033052152
2770.2703423561834 , 0.97878057 , 0.0033027064
2770.271731249088 , 0.97354186 , 0.0032943543
2770.2731201421093 , 0.9764471 , 0.003302497
2770.2745090350145 , 0.97837126 , 0.0033046303
2770.2758979279192 , 0.9799041 , 0.0033111395
2770.27728682094 , 0.97746587 , 0.003306592
2770.2786757138456 , 0.9830691 , 0.0033120846
2770.2800646067503 , 0.9720881 , 0.0032935464
2770.281453499771 , 0.9802824 , 0.0033076736
2770.2828423926762 , 0.9858321 , 0.0033185056
2770.2842312855805 , 0.98181826 , 0.0033079635
2770.2856201784844 , 0.97842056 , 0.0033031122
2770.287009071506 , 0.9810964 , 0.003307347
2770.2883979644107 , 0.9844739 , 0.003313243
2770.289786857315 , 0.98167366 , 0.0033075733
2770.2911757502206 , 0.98231983 , 0.0033081777
2770.2925646431254 , 0.9826481 , 0.0033103374
2770.2939535360297 , 0.98679376 , 0.0033143854
2770.295342428935 , 0.9863676 , 0.00331211
2770.2967313218396 , 0.98425317 , 0.003310881
2770.2981202147444 , 0.9847047 , 0.0033093328
2770.2995091076496 , 0.98529667 , 0.0033113963
2770.300898000554 , 0.98173136 , 0.0033095742
2770.302286893459 , 0.98216516 , 0.0033105882
2770.3036757863642 , 0.9789829 , 0.0033057842
2770.3050646792685 , 0.9846083 , 0.0033123267
2770.3064535721733 , 0.98208666 , 0.0033128087
2770.307842465078 , 0.9870892 , 0.0033198392
2770.3092313578654 , 0.9916759 , 0.0033213145
2770.31062025077 , 0.9879492 , 0.0033176953
2770.3120091436754 , 0.9914362 , 0.003321705
2770.3133980365797 , 0.9919741 , 0.0033218456
2770.3147869293684 , 0.99164325 , 0.0033234437
2770.3161758222736 , 0.9852311 , 0.003314752
2770.317564715178 , 0.9899535 , 0.0033237396
2770.3189536079663 , 0.9914162 , 0.003321657
2770.3203425008714 , 0.9874977 , 0.003317951
2770.32173139366 , 0.9894674 , 0.0033177738
2770.3231202865645 , 0.9844894 , 0.0033161077
2770.3245091794697 , 0.9933482 , 0.0033245916
2770.3258980722585 , 0.9893797 , 0.0033176085
2770.3272869651632 , 0.9913522 , 0.0033188134
2770.3286758579516 , 0.9922785 , 0.0033229336
2770.3300647508568 , 0.9910162 , 0.0033282773
2770.331453643644 , 0.99396425 , 0.003326023
2770.3328425364316 , 0.9939215 , 0.003325953
2770.3342314293373 , 0.9941721 , 0.0033240838
2770.335620322125 , 0.98737264 , 0.0033188423
2770.33700921503 , 0.9885248 , 0.0033179065
2770.3383981078186 , 0.99363774 , 0.0033254705
2770.339787000607 , 0.9947021 , 0.0033270936
2770.3411758935117 , 0.99339 , 0.0033211494
2770.3425647863005 , 0.99198043 , 0.0033231373
2770.343953679089 , 0.9956545 , 0.0033268807
2770.3453425718767 , 0.98706996 , 0.0033168201
2770.346731464782 , 0.98772866 , 0.0033192302
2770.3481203575707 , 0.99129534 , 0.0033287024
2770.3495092503586 , 0.98325527 , 0.0033158718
2770.3508981431473 , 0.9856753 , 0.0033158734
2770.3522870359357 , 0.99489254 , 0.003323938
2770.353675928724 , 0.98875254 , 0.0033192325
2770.355064821629 , 0.99456286 , 0.0033238607
2770.3564537144166 , 0.98497903 , 0.0033147938
2770.357842607204 , 0.98643404 , 0.0033160478
2770.359231499993 , 0.98927563 , 0.0033174471
2770.3606203927816 , 0.9920097 , 0.0033225063
2770.3620092855695 , 0.98509496 , 0.003313414
2770.3633981783582 , 0.9899586 , 0.003318571
2770.364787071146 , 0.9858262 , 0.0033153903
2770.366175963935 , 0.98855484 , 0.0033164655
2770.3675648567237 , 0.98697376 , 0.003315589
2770.3689537495115 , 0.98967576 , 0.0033203221
2770.3703426423 , 0.98537827 , 0.0033128061
2770.371731535089 , 0.9825617 , 0.0033134941
2770.373120427877 , 0.9923536 , 0.0033190437
2770.374509320549 , 0.9902011 , 0.0033220763
2770.3758982133377 , 0.9846244 , 0.00331026
2770.377287106126 , 0.9854703 , 0.0033112569
2770.378675998914 , 0.98933506 , 0.0033201487
2770.3800648917027 , 0.9845972 , 0.0033127388
2770.3814537844896 , 0.9843886 , 0.0033138206
2770.382842677278 , 0.9784932 , 0.003307943
2770.3842315699508 , 0.98503524 , 0.0033094578
2770.3856204627396 , 0.98578566 , 0.0033129647
2770.3870093555274 , 0.98497725 , 0.003310277
2770.3883982483158 , 0.9872208 , 0.003316356
2770.389787140988 , 0.9825105 , 0.0033077365
2770.3911760337764 , 0.9798173 , 0.0033053556
2770.392564926565 , 0.98125255 , 0.003308966
2770.393953819237 , 0.97847164 , 0.0033035788
2770.3953427120255 , 0.97822344 , 0.0033026866
2770.3967316048133 , 0.9841783 , 0.003310187
2770.398120497486 , 0.9798011 , 0.0033032512
2770.3995093902745 , 0.9843224 , 0.003308717
2770.4008982830624 , 0.98038137 , 0.0033066755
2770.4022871757347 , 0.9765287 , 0.0032980887
2770.4036760685226 , 0.9768435 , 0.0032991315
2770.40506496131 , 0.9764359 , 0.0033005534
2770.4064538539824 , 0.9802348 , 0.00330083
2770.4078427467707 , 0.97549665 , 0.0032964395
2770.409231639442 , 0.9808191 , 0.003299764
2770.4106205322314 , 0.98245955 , 0.0033044072
2770.4120094249033 , 0.97175854 , 0.003293216
2770.413398317691 , 0.9750361 , 0.0032970388
2770.4147872103636 , 0.97095144 , 0.0032930996
2770.416176103152 , 0.9739696 , 0.0032948405
2770.417564995824 , 0.9699969 , 0.0032895282
2770.4189538886126 , 0.9699985 , 0.0032923503
2770.420342781284 , 0.97767454 , 0.0032963944
2770.421731674073 , 0.97073627 , 0.00328537
2770.423120566745 , 0.97171444 , 0.0032912337
2770.424509459533 , 0.96884817 , 0.0032881103
2770.425898352205 , 0.97201574 , 0.00329075
2770.4272872448773 , 0.9746774 , 0.0032946083
2770.4286761376648 , 0.9699466 , 0.0032914744
2770.430065030336 , 0.962233 , 0.003279545
2770.431453923125 , 0.9718177 , 0.0032929126
2770.4328428157964 , 0.9636286 , 0.003279753
2770.434231708469 , 0.9682513 , 0.003290985
2770.4356206012576 , 0.96759975 , 0.003285947
2770.437009493929 , 0.9593813 , 0.0032731283
2770.438398386601 , 0.9636515 , 0.0032788168
2770.4397872793897 , 0.96205276 , 0.003278315
2770.4411761720617 , 0.9669146 , 0.0032817312
2770.4425650647336 , 0.9620841 , 0.0032743309
2770.4439539575224 , 0.96612215 , 0.0032850609
2770.4453428501947 , 0.96705425 , 0.0032893587
2770.4467317428666 , 0.96287316 , 0.003276933
2770.448120635655 , 0.9712045 , 0.0032845263
2770.4495095283273 , 0.9629983 , 0.0032774122
2770.4508984209992 , 0.96553147 , 0.003287127
2770.45228731367 , 0.966298 , 0.0032814634
2770.4536762064586 , 0.9657777 , 0.0032870441
2770.45506509913 , 0.9646683 , 0.0032807195
2770.456453991802 , 0.9619311 , 0.0032793744
2770.4578428844743 , 0.96980053 , 0.0032898125
2770.4592317772626 , 0.9553125 , 0.0032763449
2770.4606206699345 , 0.96801513 , 0.0032842245
2770.462009562607 , 0.9674509 , 0.0032890923
2770.463398455279 , 0.970876 , 0.0032909443
2770.4647873479503 , 0.9644015 , 0.003280009
2770.466176240739 , 0.96749437 , 0.0032870607
2770.4675651334114 , 0.9663468 , 0.0032845906
2770.468954026083 , 0.97289366 , 0.0032907065
2770.4703429187553 , 0.9763686 , 0.003295882
2770.471731811427 , 0.96528727 , 0.0032839642
2770.4731207042155 , 0.9640037 , 0.0032814813
2770.474509596888 , 0.9763921 , 0.0032971872
2770.475898489559 , 0.96673936 , 0.0032851899
2770.47728738223 , 0.975728 , 0.0032954344
2770.478676274902 , 0.9759016 , 0.0032961988
2770.4800651675746 , 0.97671336 , 0.0032963133
